TweetID,Username,Date,Retweets,Favorites,Text,Mentions,Permalink
824605747447267328,DNADonny,2017-01-26 08:11,0,0,Where can I get a pair of old man socks? Nike is great but some times I just wanna feel #cozy,,https://twitter.com/DNADonny/status/824605747447267328
824605735174578176,27__nike,2017-01-26 08:11,0,4,Feel It,,https://twitter.com/27__nike/status/824605735174578176
824602504411373568,w0tm8_,2017-01-26 07:58,0,0,"I wear a long sleeve top, a little Nike sports hoodie then two centra fleeces :) I feel ur pain :)",,https://twitter.com/w0tm8_/status/824602504411373568
824590596098691072,ibkonteh,2017-01-26 07:11,0,0,"But the Nike brand, the sum total of what we think and believe and feel about what this company makes--it's now worth billions.",,https://twitter.com/ibkonteh/status/824590596098691072
824588572355391488,cheta_sree,2017-01-26 07:03,0,0,Manish pandey changed his bat... I feel that old Nike was good for him,,https://twitter.com/cheta_sree/status/824588572355391488
824573675407937540,jzllmntlb,2017-01-26 06:04,0,4,"iniintay ko ang sapatos na ibibigay pag nag stcaa, feel ko yung nike nmd HAHAHAHA",,https://twitter.com/jzllmntlb/status/824573675407937540
824535048598663172,johnnyaiello82,2017-01-26 03:30,0,0,"3 times? Unlucky bro, feel for ya. Not the first time I've heard of Nike boots been worn during ACL injuries.Adidas are good though",,https://twitter.com/johnnyaiello82/status/824535048598663172
824513220685824001,Keyan_Pinnock,2017-01-26 02:04,1,0,"Adidas has some heat, but I feel Nike has the advantage in terms of variety https:// twitter.com/mikey__mcfly/s tatus/824510657353711617 ",,https://twitter.com/Keyan_Pinnock/status/824513220685824001
824508590945755139,Oshawaterbottle,2017-01-26 01:45,0,1,Nike Prime Hype DF II. Low price and great feel,,https://twitter.com/Oshawaterbottle/status/824508590945755139
824507384601210880,buijijiji,2017-01-26 01:40,0,6,COMO QUE A LAS NIKE NO SE LES DICE NAIK i feel violated,,https://twitter.com/buijijiji/status/824507384601210880
824492949140418560,ImTheCoach_,2017-01-26 00:43,0,0,I feel you bro,,https://twitter.com/ImTheCoach_/status/824492949140418560
824480210112409600,hayleycatharine,2017-01-25 23:52,0,0,srs question: do the waistband of these fit similar to nike pros? i want them but feel like they might give me a muffin top lmao,,https://twitter.com/hayleycatharine/status/824480210112409600
824469635487539201,btpmayville,2017-01-25 23:10,0,1,"I feel your pain, I've got size 16s. Nike gives no love to big sizes",,https://twitter.com/btpmayville/status/824469635487539201
824463922199724036,mychericeamour_,2017-01-25 22:48,0,0,We know how DC dudes feel about their Nike boots,,https://twitter.com/mychericeamour_/status/824463922199724036
824438464003190784,troymontero,2017-01-25 21:07,0,0,"If you feel lost and don't where where to start when it comes to fitness, check out the Nike https://www. instagram.com/p/BPtdEX8BJRT/",,https://twitter.com/troymontero/status/824438464003190784
824438027552456705,MikeKOConnor,2017-01-25 21:05,0,8,Not sure how I feel bout new Nike uniforms....look like sports bras.,,https://twitter.com/MikeKOConnor/status/824438027552456705
824433987267547137,gearing_nathan,2017-01-25 20:49,0,4,"This really skinny guy wearing one of those Nike ""beast"" shirts just walked past me at work and said ""I don't feel like a beast anymore""",,https://twitter.com/gearing_nathan/status/824433987267547137
824418190721683457,carloSantolalla,2017-01-25 19:46,1,2,I feel bad for FKA twigs having to endure this awful Nike campaign,,https://twitter.com/carloSantolalla/status/824418190721683457
824412882062413824,BrendaleePhill1,2017-01-25 19:25,0,2,i know how you feel ang,,https://twitter.com/BrendaleePhill1/status/824412882062413824
824409752964886529,Jersey4lyfe46,2017-01-25 19:12,0,1,"FUHHhhhh you Nike .....Still love you, but fuckkkkkkk you haha. Going to cop a an overpriced collab boost to feel better...",,https://twitter.com/Jersey4lyfe46/status/824409752964886529
824408904855592960,opkicksnlaces,2017-01-25 19:09,0,1,Damn Nike that's how you feel . Not even a single SNKRS notification lol,,https://twitter.com/opkicksnlaces/status/824408904855592960
824408785087299585,NRS_nike,2017-01-25 19:09,0,0,I feel kinda sad suddenly.,,https://twitter.com/NRS_nike/status/824408785087299585
824403132054720514,AlwaysWannaFry,2017-01-25 18:46,0,0,Nike 2015 Dura Feel VIII All Weather Mens Golf Gloves Left Hand (Right Handed Golfer) http:// ift.tt/2kl3pJe,,https://twitter.com/AlwaysWannaFry/status/824403132054720514
824396074702041088,LetBreedomRing,2017-01-25 18:18,0,1,I feel my life is somewhat put together when I wear my Nike socks on the correct feet.,,https://twitter.com/LetBreedomRing/status/824396074702041088
824393126794199044,gudproductmade2,2017-01-25 18:06,0,0,"I ain't in no rush no.1 pick, got skillz like it. Know I got tha ck on me I'm not Nike but it feel like it",,https://twitter.com/gudproductmade2/status/824393126794199044
824382582297100288,karacut124,2017-01-25 17:24,0,1,"Nike hat, shirt, pants, socks and shoes... I really feel like I have my shit together today",,https://twitter.com/karacut124/status/824382582297100288
